rank,account_id,account_name,industry_segment,region,plant_type,estimated_opportunity_size,estimated_annual_downtime_cost,priority_score,priority_label,lifecycle_risk_score,lifecycle_risk_label,installed_base_complexity_score,installed_base_complexity_label,modernization_fit_score,modernization_fit_label,service_urgency_score,service_urgency_label,data_readiness_score,data_readiness_label,sales_readiness_score,sales_readiness_label,confidence_level,priority_segment,segment_reason,opportunity_type,next_best_action
1,IBA-005,Evergreen Tissue Products,Pulp and paper,Pacific Northwest,Continuous process,1350000,2100000,78,Tier 1,92,Critical,44,Focused,93,Strong,82,Immediate,57,Developing,76,Ready,High,Quick win,"Strong readiness, visible urgency, and service context support a short-cycle next step.",Safety lifecycle review,Start phased modernization and safety lifecycle review
2,IBA-014,Northstar Glass Works,Building products,Great Lakes,Continuous furnace,1480000,2350000,73,Tier 2,85,Critical,21,Simple,91,Strong,84,Immediate,55,Needs discovery,67,Developing,High,Quick win,"Strong readiness, visible urgency, and service context support a short-cycle next step.",Safety lifecycle review,Develop phased modernization scope
3,IBA-018,Ridgeway Bottling,Food and beverage,Southeast,Beverage bottling,980000,1750000,72,Tier 2,56,Moderate,59,Scaled,80,Strong,76,Immediate,85,Ready,86,Ready,High,Strategic enterprise account,Large opportunity value and strategic fit justify a roadmap-level conversation.,Drive health and predictive maintenance,Build short-cycle reliability proposal
4,IBA-038,Liberty Pipe and Tube,Metals,Great Lakes,Tube mill,860000,1780000,65,Tier 2,86,Critical,29,Focused,72,Good,83,Immediate,45,Needs discovery,58,Developing,Medium,Service-risk account,Support exposure and reliability risk are the clearest path into the account.,Safety lifecycle review,Confirm evidence quality and account timing
5,IBA-007,Granite Automotive Stamping,Automotive,Midwest,Stamping,840000,1860000,65,Tier 2,73,High,53,Scaled,69,Good,77,Immediate,50,Needs discovery,58,Developing,Medium,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Drive health and predictive maintenance,Confirm evidence quality and account timing
6,IBA-003,Canyon Forge Components,Discrete manufacturing,Southwest,Forging and machining,920000,1620000,63,Tier 2,71,High,48,Scaled,78,Strong,63,Near term,47,Needs discovery,57,Developing,Medium,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Safety lifecycle review,Confirm evidence quality and account timing
7,IBA-002,Blue River Dairy Cooperative,Food and beverage,Great Lakes,Batch processing,620000,980000,63,Tier 2,74,High,17,Simple,73,Good,71,Near term,66,Developing,80,Ready,High,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Safety lifecycle review,Run installed-base lifecycle assessment
8,IBA-039,Metro Personal Mobility,Automotive,Southeast,Battery module assembly,1120000,1690000,61,Tier 3,30,Low,55,Scaled,67,Good,65,Near term,89,Ready,71,Developing,High,Strategic enterprise account,Large opportunity value and strategic fit justify a roadmap-level conversation.,Analytics and edge monitoring,Build discovery plan and validate business trigger
9,IBA-001,Apex Packaging Systems,Food and beverage,Midwest,High-speed packaging,740000,1280000,61,Tier 3,53,Moderate,35,Focused,70,Good,69,Near term,78,Ready,71,Developing,High,Data-readiness candidate,Instrumentation and data availability support a performance pilot or monitoring discussion.,Analytics and edge monitoring,Build discovery plan and validate business trigger
10,IBA-037,Kodiak Frozen Foods,Food and beverage,Pacific Northwest,Frozen processing,690000,1160000,60,Tier 3,53,Moderate,34,Focused,69,Good,67,Near term,70,Developing,80,Ready,High,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Short-cycle service opportunity,Build discovery plan and validate business trigger
11,IBA-024,Xenia Personal Care,Consumer packaged goods,Northeast,Liquid filling,720000,1210000,59,Tier 3,53,Moderate,45,Focused,65,Good,62,Near term,73,Developing,70,Developing,High,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Short-cycle service opportunity,Build discovery plan and validate business trigger
12,IBA-031,Eastport Canning Company,Food and beverage,Northeast,Canning,590000,1050000,59,Tier 3,56,Moderate,27,Simple,69,Good,66,Near term,69,Developing,80,Ready,High,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Short-cycle service opportunity,Build discovery plan and validate business trigger
13,IBA-006,Futura Battery Materials,Battery and energy storage,Southeast,Chemical processing,1180000,1450000,56,Tier 3,29,Low,39,Focused,65,Good,55,Monitor,87,Ready,65,Developing,High,Strategic enterprise account,Large opportunity value and strategic fit justify a roadmap-level conversation.,Analytics and edge monitoring,Build discovery plan and validate business trigger
14,IBA-025,Yellowstone Mining Products,Mining and aggregates,Mountain,Crushing and screening,690000,1560000,56,Tier 3,77,High,27,Simple,62,Good,80,Immediate,31,Early,45,Needs discovery,Medium,Service-risk account,Support exposure and reliability risk are the clearest path into the account.,Safety lifecycle review,Confirm evidence quality and account timing
15,IBA-017,Quartz Semiconductor Services,Electronics,Southwest,Cleanroom support systems,760000,1540000,54,Tier 3,29,Low,25,Simple,66,Good,62,Near term,82,Ready,71,Developing,High,Data-readiness candidate,Instrumentation and data availability support a performance pilot or monitoring discussion.,Analytics and edge monitoring,Build discovery plan and validate business trigger
16,IBA-010,Juniper Consumer Goods,Consumer packaged goods,South Central,Multi-line packaging,680000,930000,54,Tier 3,25,Low,61,Scaled,58,Good,48,Monitor,83,Ready,75,Developing,High,Data-readiness candidate,Instrumentation and data availability support a performance pilot or monitoring discussion.,Analytics and edge monitoring,Build discovery plan and validate business trigger
17,IBA-026,Zenith Solar Fabrication,Renewable energy,Southwest,Panel assembly,820000,970000,53,Tier 3,26,Low,40,Focused,59,Good,54,Monitor,83,Ready,71,Developing,High,Strategic enterprise account,Large opportunity value and strategic fit justify a roadmap-level conversation.,Analytics and edge monitoring,Build discovery plan and validate business trigger
